leaf_size, node_size, main_loc, snippet_size, snippet_loc, build_or_not
2, 3, -1, 6, -1, true
2, 5, -1, 5, -1, false
1, 4, -1, 5, -1, false
2, 5, -1, 5, -1, false
1, 3, -1, 1, -1, false
1, 3, -1, 8, -1, false
2, 4, -1, 8, -1, false
14, 22, -1, 80, -1, false
14, 21, -1, 59, -1, false
11, 19, -1, 80, -1, false
1, 1, -1, 1, -1, true
1, 2, -1, 4, -1, true
0, 1, -1, 4, -1, true
9, 15, -1, 18, -1, false
5, 10, -1, 17, -1, false
9, 14, -1, 19, -1, false
23, 31, -1, 24, -1, false
14, 22, -1, 24, -1, false
19, 26, -1, 24, -1, false
4, 9, -1, 9, -1, false
5, 9, -1, 9, -1, false
4, 7, -1, 9, -1, false
8, 18, -1, 30, -1, false
6, 13, -1, 26, -1, false
6, 15, -1, 11, -1, false
21, 35, -1, 22, -1, false
17, 31, -1, 21, -1, false
19, 30, -1, 21, -1, false
26, 38, -1, 23, -1, false
20, 32, -1, 23, -1, false
24, 35, -1, 21, -1, false
2, 5, -1, 1, -1, true
3, 4, -1, 1, -1, false
2, 4, -1, 1, -1, true
32, 46, -1, 4, -1, false
31, 41, -1, 4, -1, false
32, 46, -1, 4, -1, false
10, 19, -1, 38, -1, false
20, 33, -1, 120, -1, false
21, 34, -1, 122, -1, false
3, 6, -1, 0, -1, true
6, 10, -1, 1, -1, true
6, 10, -1, 1, -1, true
35, 63, -1, 131, -1, false
42, 67, -1, 132, -1, false
32, 62, -1, 134, -1, false
3, 8, -1, 1, -1, false
4, 7, -1, 5, -1, false
2, 4, -1, 1, -1, false
1, 1, -1, 0, -1, true
1, 1, -1, 0, -1, true
1, 1, -1, 0, -1, true
0, 1, -1, 0, -1, true
1, 2, -1, 10, -1, false
1, 1, -1, 10, -1, false
1, 5, -1, 12, -1, false
1, 5, -1, 0, -1, false
2, 6, -1, 12, -1, false
1, 2, -1, 13, -1, false
1, 2, -1, 13, -1, false
1, 1, -1, 13, -1, false
18, 19, -1, 22, -1, false
10, 11, -1, 0, -1, true
17, 18, -1, 18, -1, false
19, 38, -1, 33, -1, false
17, 36, -1, 33, -1, false
20, 36, -1, 33, -1, false
13, 14, -1, 16, -1, false
14, 15, -1, 16, -1, false
10, 11, -1, 16, -1, false
0, 2, -1, 0, -1, false
1, 2, -1, 2, -1, false
0, 3, -1, 0, -1, false
8, 17, -1, 12, -1, false
3, 12, -1, 12, -1, false
8, 19, -1, 12, -1, false
9, 18, -1, 138, -1, false
11, 19, -1, 35, -1, false
15, 23, -1, 43, -1, false
0, 1, -1, 0, -1, true
2, 3, -1, 0, -1, true
2, 3, -1, 0, -1, true
5, 6, -1, 0, -1, true
3, 5, -1, 0, -1, true
5, 8, -1, 0, -1, true
5, 6, -1, 0, -1, true
7, 8, -1, 0, -1, true
7, 8, -1, 0, -1, true
3, 5, -1, 0, -1, true
7, 9, -1, 0, -1, true
6, 8, -1, 0, -1, true
4, 9, -1, 0, -1, true
4, 9, -1, 0, -1, true
7, 13, -1, 0, -1, true
6, 7, -1, 0, -1, true
6, 9, -1, 0, -1, true
6, 8, -1, 0, -1, true
13, 19, -1, 0, -1, true
13, 18, -1, 0, -1, true
15, 21, -1, 0, -1, true
3, 7, -1, 1, -1, true
2, 5, -1, 1, -1, true
3, 8, -1, 0, -1, true
16, 29, -1, 0, -1, true
24, 37, -1, 0, -1, true
16, 27, -1, 0, -1, false
4, 11, -1, 1, -1, true
6, 14, -1, 1, -1, true
4, 12, -1, 1, -1, true
9, 22, -1, 8, -1, false
10, 24, -1, 8, -1, false
9, 24, -1, 8, -1, false
2, 5, -1, 10, -1, false
3, 6, -1, 10, -1, false
3, 6, -1, 10, -1, false
0, 1, -1, 9, -1, false
3, 4, -1, 9, -1, false
0, 1, -1, 9, -1, false
3, 10, -1, 9, -1, false
3, 10, -1, 9, -1, false
8, 15, -1, 9, -1, false
7, 16, -1, 9, -1, false
5, 12, -1, 9, -1, false
7, 15, -1, 9, -1, false
3, 4, -1, 12, -1, false
2, 3, -1, 12, -1, false
1, 1, -1, 10, -1, false
2, 3, -1, 12, -1, false
3, 4, -1, 10, -1, false
3, 4, -1, 10, -1, false
3, 4, -1, 10, -1, false
4, 5, -1, 10, -1, false
3, 4, -1, 10, -1, false
