leaf_size, snippet_size, build_or_not
1, 16, false
0, 0, true
0, 0, true
0, 0, true
1, 16, false
0, 0, true
1, 16, false
0, 0, true
0, 0, true
3, 1, false
3, 1, false
6, 16, false
1, 10, false
2, 17, false
0, 0, true
1, 12, false
0, 0, true
0, 0, true
1, 16, false
0, 0, true
0, 0, true
2, 11, false
0, 0, true
2, 11, false
0, 0, true
0, 0, true
1, 10, false
2, 17, false
1, 10, false
2, 44, false
4, 12, false
5, 12, false
4, 12, false
0, 0, true
0, 0, true
0, 0, true
3, 10, false
7, 20, false
5, 21, false
4, 0, false
5, 30, false
4, 10, false
6, 20, false
6, 37, false
3, 33, false
4, 19, false
3, 18, false
5, 21, false
1, 0, false
2, 0, false
2, 0, false
1, 0, false
0, 0, true
2, 0, false
3, 20, false
6, 26, false
7, 26, false
2, 13, false
4, 19, false
3, 15, false
7, 46, false
8, 46, false
9, 27, false
5, 87, false
10, 114, false
4, 116, false

leaf_size, snippet_size, build_or_not
8, 1, true
11, 1, true
9, 1, true
4, 0, false
4, 0, false
2, 0, true
8, 0, false
5, 0, false
6, 0, true
5, 2, false
5, 1, false
2, 0, true
8, 2, false
7, 2, false
6, 2, false
6, 1, false
1, 1, false
7, 1, false
10, 1, false
6, 0, false
9, 1, false
6, 2, false
5, 0, false
2, 0, false
1, 0, false
2, 0, false
0, 0, true
2, 0, false
2, 0, true
1, 0, true
1, 0, false
2, 0, false
1, 0, false
8, 3, false
10, 3, false
7, 3, false
2, 5, false
5, 8, false
4, 8, false
1, 2, false
0, 0, true
0, 0, true
1, 2, false
1, 2, false
1, 0, false
3, 0, false
1, 0, false
5, 0, false
1, 0, true
0, 0, true
0, 0, true
1, 0, false
0, 0, true
1, 0, false
0, 0, true
2, 3, false
0, 0, true
1, 3, false
1, 3, false
1, 3, false
2, 3, false
0, 0, true
2, 3, false
1, 2, false
0, 0, true
0, 0, true
1, 0, true
3, 0, true
2, 0, true
2, 0, true
2, 0, true
3, 1, true
0, 0, true
1, 0, true
1, 0, true
6, 3, false
3, 4, false
3, 4, false
5, 5, true
4, 3, false
5, 5, false
0, 0, true
1, 3, true
3, 8, false
2, 1, true
0, 0, true
1, 1, true
8, 0, false
6, 2, false
8, 2, false
13, 9, false
11, 8, false
13, 9, false
3, 0, true
3, 0, true
1, 0, true
1, 1, true
2, 1, true
4, 1, true
1, 0, true
1, 0, true
1, 0, true
0, 0, true
0, 0, true
0, 0, true
12, 9, false
16, 18, false
7, 5, false
0, 0, true
0, 0, true
0, 0, true
3, 6, false
4, 3, true
6, 4, true
0, 0, true
4, 0, false
2, 0, false
0, 0, true
1, 0, true
1, 0, false
0, 0, true
2, 9, false
3, 26, false
7, 5, false
5, 5, false
6, 3, false
4, 1, false
7, 4, false
6, 4, false
10, 129, false
11, 168, false
11, 168, false
34, 8, false
24, 10, false
27, 10, false
9, 329, false
11, 331, false
6, 68, false
0, 0, true
1, 322, false
0, 0, true
0, 0, true
1, 2, false
1, 2, false
3, 44, false
2, 36, false
5, 44, false
11, 44, false
5, 36, false
10, 44, false
2, 37, false
1, 36, false
2, 37, false
2, 38, false
4, 38, false
0, 0, true
4, 44, false
6, 49, false
4, 36, false
2, 37, false
2, 37, false
1, 36, false
0, 0, true
1, 36, false
0, 0, true
0, 0, true
0, 0, true
1, 36, false
2, 36, false
0, 0, true
2, 36, false
2, 36, false
1, 0, true
2, 36, false
5, 37, false
4, 47, false
5, 37, false
2, 37, false
2, 37, false
3, 37, false
1, 36, false
1, 36, false
0, 0, true
2, 36, false
1, 36, false
3, 36, false
3, 36, false
0, 0, true
0, 0, true
1, 0, false
0, 0, true
1, 0, false
0, 0, true
0, 0, true
1, 0, false
1, 0, false
3, 2, false
