filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 63, 1, 9, -9, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 63, 1, 9, -9, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 63, 1, 8, -9, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 66, 1, 9, -12, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 66, 1, 9, -12, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 66, 1, 8, -12, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 70, 1, 9, -16, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 70, 1, 9, -16, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 70, 1, 8, -16, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 73, 1, 9, -19, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 73, 1, 9, -19, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 73, 1, 8, -19, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 77, 1, 9, -23, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 77, 1, 9, -23, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 77, 1, 8, -23, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 80, 1, 9, -26, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 80, 1, 9, -26, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 80, 1, 8, -26, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 83, 1, 9, -29, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 83, 1, 9, -29, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 83, 1, 8, -29, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 90, 1, 9, -36, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 90, 1, 9, -36, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 92, 1, 8, -38, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 93, 1, 8, -39, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 97, 1, 9, -43, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 97, 1, 9, -43, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 97, 1, 8, -43, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 100, 1, 9, -46, 6, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 101, 1, 9, -47, 9, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 101, 1, 9, -47, 9, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 102, 1, 9, -48, 10, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 102, 1, 9, -48, 10, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 106, 1, 9, -52, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 106, 1, 9, -52, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 106, 1, 8, -52, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 109, 1, 9, -55, 6, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 110, 1, 9, -56, 9, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 110, 1, 9, -56, 9, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 119, 1, 9, -65, 10, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 119, 1, 9, -65, 10, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 124, 1, 9, -70, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 124, 1, 9, -70, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 124, 1, 8, -70, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 127, 1, 9, -73, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 127, 1, 9, -73, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 127, 1, 8, -73, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 130, 1, 9, -76, 8, true
